지역,년,prediction_label
강원도,2021,2620.0324507946625
강원도,2022,2627.1878520526852
강원도,2023,2559.65431196352
강원도,2024,2609.7572312134416
강원도,2025,2654.337377310525
강원도,2026,2557.6434784066523
강원도,2027,2625.9313979513145
강원도,2028,2625.8966197525483
강원도,2029,2619.3380477970763
강원도,2030,2665.8905065017807
강원도,2031,2660.314356307001
강원도,2032,2568.5423740108636
강원도,2033,2703.7361984755007
강원도,2034,2539.4460132778977
강원도,2035,2647.7755602311336
강원도,2036,2664.0955187097643
강원도,2037,2574.6339563344795
강원도,2038,2560.215977903702
강원도,2039,2647.666159138515
강원도,2040,2551.0969609207355
강원도,2041,2631.3044533814063
강원도,2042,2621.401048639327
강원도,2043,2515.3071863264486
강원도,2044,2626.327271660408
강원도,2045,2601.5177576250367
강원도,2046,2646.0617745345867
강원도,2047,2564.6391278835836
강원도,2048,2726.0609073472583
강원도,2049,2581.767953080113
강원도,2050,2610.4386972794155
강원도,2051,2507.570562679375
강원도,2052,2631.402164059452
강원도,2053,2595.8173660474786
강원도,2054,2663.1812638183774
강원도,2055,2577.2949476142385
강원도,2056,2723.7351246758762
강원도,2057,2606.3775642505925
강원도,2058,2483.538803237767
강원도,2059,2717.8347140968563
강원도,2060,2618.57712496647
강원도,2061,2577.1771541655494
강원도,2062,2654.787803980321
강원도,2063,2579.8396763283995
강원도,2064,2744.956322113889
강원도,2065,2424.6005008959064
강원도,2066,2473.5352627418697
강원도,2067,2743.649007205911
강원도,2068,2622.398460132779
강원도,2069,2657.516474135572
강원도,2070,2399.0160315132007
강원도,2071,2598.043000717848
강원도,2072,2722.354939232205
강원도,2073,2801.9703498801496
강원도,2074,2543.306824039743
강원도,2075,2326.902475774544
강원도,2076,2635.2861228677943
강원도,2077,2526.8960691359002
강원도,2078,2684.4729735152664
강원도,2079,2648.373085129731
강원도,2080,2762.598810940853
강원도,2081,2646.0592132418396
강원도,2082,2675.45944851955
강원도,2083,2940.3728926368026
강원도,2084,2611.132984455777
강원도,2085,2899.57074168455
강원도,2086,2664.8341206150967
강원도,2087,2476.879991388669
강원도,2088,2629.0696922350967
강원도,2089,2698.8480271760995
강원도,2090,2764.7549574168456
강원도,2091,2588.457208293558
강원도,2092,2857.4402590653044
강원도,2093,2644.4073850466216
강원도,2094,2731.9006312030583
강원도,2095,2694.320602791755
강원도,2096,2691.955160273605
강원도,2097,2672.730278317044
강원도,2098,2622.777832300413
강원도,2099,2656.3967210412197
강원도,2100,2540.9145054771225
경기도,2021,2617.8795760126072
경기도,2022,2662.17442919191
경기도,2023,2625.9212980367174
경기도,2024,2594.722292621616
경기도,2025,2635.9249463762285
경기도,2026,2594.666379071321
경기도,2027,2582.0214646379973
경기도,2028,2561.9966009327895
경기도,2029,2544.863124065159
경기도,2030,2870.602172843503
경기도,2031,2714.2595847790913
경기도,2032,2501.8187074217767
경기도,2033,2892.7283271152296
경기도,2034,2429.564678614539
경기도,2035,2783.6161952270527
경기도,2036,2970.815481239941
경기도,2037,2482.958196269029
경기도,2038,2584.50474786853
경기도,2039,2641.51208146617
경기도,2040,2483.089645518074
경기도,2041,2616.199270264339
경기도,2042,2431.484354312887
경기도,2043,2553.4441682872857
경기도,2044,2544.0397127362885
경기도,2045,2702.7290541632124
경기도,2046,2733.9783567764225
경기도,2047,2731.6927734375
경기도,2048,2880.8109736415176
경기도,2049,2547.6891522337555
경기도,2050,2654.5280246790344
경기도,2051,2447.306320682253
경기도,2052,2777.5059594062946
경기도,2053,2696.018066315136
경기도,2054,2588.0261458764517
경기도,2055,2635.71630104949
경기도,2056,2662.487237799995
경기도,2057,2789.1818266786363
경기도,2058,2526.138230804974
경기도,2059,2678.6232509891365
경기도,2060,2556.5048714961104
경기도,2061,2592.3627592989988
경기도,2062,2736.236011266095
경기도,2063,2657.7543558319926
경기도,2064,2658.1203292269197
경기도,2065,2591.784040918845
경기도,2066,2590.5606280456454
경기도,2067,2741.679151019314
경기도,2068,2556.102494635193
경기도,2069,2645.4481310811307
경기도,2070,2564.326280834874
경기도,2071,2717.6380339659336
경기도,2072,2784.8564541688047
경기도,2073,2859.998625177126
경기도,2074,2579.8715349494814
경기도,2075,2521.65525414496
경기도,2076,2585.4921371663663
경기도,2077,2723.226946216189
경기도,2078,2577.0238171891665
경기도,2079,2629.112868425799
경기도,2080,2798.2707512863344
경기도,2081,2779.2749069541314
경기도,2082,2749.1357447022533
경기도,2083,2888.5580048786214
경기도,2084,2699.065531395297
경기도,2085,2909.1084089156384
경기도,2086,2650.2523307443435
경기도,2087,2677.6845420913805
경기도,2088,2525.88853101025
경기도,2089,2689.412759019582
경기도,2090,2593.2843610188947
경기도,2091,2743.0524102287186
경기도,2092,2739.8933551456425
경기도,2093,2594.430414250915
경기도,2094,2774.670195424267
경기도,2095,2809.274258566926
경기도,2096,2667.034249478662
경기도,2097,2786.9187449704937
경기도,2098,2709.6829055458693
경기도,2099,2735.02511899355
경기도,2100,2641.4050051843915
경상남도,2021,2676.1961603909604
경상남도,2022,2849.6343442526054
경상남도,2023,2547.9440512601464
경상남도,2024,2889.5421963796134
경상남도,2025,2892.8691813768987
경상남도,2026,2970.809535944206
경상남도,2027,2774.215448548149
경상남도,2028,2676.0499174322695
경상남도,2029,2741.203744103086
경상남도,2030,2888.0205971642163
경상남도,2031,2906.4389247404906
경상남도,2032,2646.011612927562
경상남도,2033,3022.2724433262188
경상남도,2034,2547.8276731699066
경상남도,2035,2981.4825113283646
경상남도,2036,2982.476589037701
경상남도,2037,2681.006212685062
경상남도,2038,2580.8885151220493
경상남도,2039,2943.523922277015
경상남도,2040,2665.4112295923965
경상남도,2041,2776.0591813640026
경상남도,2042,2850.866069540964
경상남도,2043,2797.679018994769
경상남도,2044,2771.4397724075448
경상남도,2045,2879.0813873219454
경상남도,2046,2713.04666416709
경상남도,2047,2805.2771757773808
경상남도,2048,2965.6866748173984
경상남도,2049,2764.6396818278345
경상남도,2050,2792.697008662944
경상남도,2051,2606.948918656116
경상남도,2052,2906.1056847402974
경상남도,2053,2980.060674281154
경상남도,2054,2891.9988901555794
경상남도,2055,2803.962195994278
경상남도,2056,2876.96592123064
경상남도,2057,2874.704931509039
경상남도,2058,2940.3618160651013
경상남도,2059,2945.5938016304176
경상남도,2060,2611.1908230841364
경상남도,2061,2779.3287451029914
경상남도,2062,2881.9159903863533
경상남도,2063,2841.7779049209907
경상남도,2064,3024.2569521108535
경상남도,2065,2740.6692635255035
경상남도,2066,2727.3953965414303
경상남도,2067,2813.1506474578396
경상남도,2068,2749.504319926905
경상남도,2069,2800.003223968295
경상남도,2070,2855.241772984845
경상남도,2071,2912.6186941050732
경상남도,2072,3041.2986341858054
경상남도,2073,3068.16662221558
경상남도,2074,2830.6498261384822
경상남도,2075,2609.0047524644583
경상남도,2076,2870.8081410944205
경상남도,2077,2858.844364438037
경상남도,2078,2769.2243327521455
경상남도,2079,2967.831922352941
경상남도,2080,2993.6930643106225
경상남도,2081,3074.3354811882195
경상남도,2082,2842.563132788446
경상남도,2083,3042.887202412861
경상남도,2084,2831.8730252967953
경상남도,2085,2965.4871211884915
경상남도,2086,2917.0633986051503
경상남도,2087,2716.6507804117496
경상남도,2088,2795.043527353226
경상남도,2089,2767.686254358906
경상남도,2090,2790.2605261981403
경상남도,2091,2927.16069029391
경상남도,2092,2958.3700773705737
경상남도,2093,2834.3834525046946
경상남도,2094,3050.4518155641003
경상남도,2095,2877.0283646486923
경상남도,2096,2920.1980184524405
경상남도,2097,2924.120998824826
경상남도,2098,2744.7948928156297
경상남도,2099,2903.7061639881504
경상남도,2100,2663.3798537428756
경상북도,2021,2588.8825064997886
경상북도,2022,2556.39939210573
경상북도,2023,2509.4707932369906
경상북도,2024,2560.816448962235
경상북도,2025,2567.3306325895155
경상북도,2026,2684.999599735113
경상북도,2027,2520.444494808734
경상북도,2028,2485.3326698361157
경상북도,2029,2400.9420994836373
경상북도,2030,2736.094991085382
경상북도,2031,2638.7622408260036
경상북도,2032,2541.2123607003596
경상북도,2033,2862.6575871071827
경상북도,2034,2476.4351757210534
경상북도,2035,2679.624423307559
경상북도,2036,2944.346690660344
경상북도,2037,2371.2684704432672
경상북도,2038,2502.1163272609565
경상북도,2039,2544.362568126951
경상북도,2040,2466.7655064101286
경상북도,2041,2577.3244773504557
경상북도,2042,2537.1751790005874
경상북도,2043,2505.380644847207
경상북도,2044,2454.7043641007867
경상북도,2045,2657.4536424700755
경상북도,2046,2548.0043211457114
경상북도,2047,2504.534090185914
경상북도,2048,2681.1649678256117
경상북도,2049,2543.2447418796332
경상북도,2050,2560.2299153543295
경상북도,2051,2500.1386915739004
경상북도,2052,2718.241866085382
경상북도,2053,2572.5757346884957
경상북도,2054,2595.9754689887104
경상북도,2055,2658.6436373098995
경상북도,2056,2692.7320009107193
경상북도,2057,2699.2361169001824
경상북도,2058,2575.9063572575674
경상북도,2059,2722.500460999988
경상북도,2060,2648.072340508763
경상북도,2061,2547.3087299530343
경상북도,2062,2673.9176376408263
경상북도,2063,2577.5159148849093
경상북도,2064,2770.623253558558
경상북도,2065,2552.1113901555796
경상북도,2066,2529.4258395084494
경상북도,2067,2657.974979424279
경상북도,2068,2709.2571888412017
경상북도,2069,2577.228794304912
경상북도,2070,2558.643008973286
경상북도,2071,2849.2976194449293
경상북도,2072,2832.5806249325947
경상북도,2073,2847.0934601814515
경상북도,2074,2603.7057394139824
경상북도,2075,2513.5672082940346
경상북도,2076,2666.441271278812
경상북도,2077,2654.7759489781915
경상북도,2078,2582.7160251026453
경상북도,2079,2722.791575119489
경상북도,2080,2799.8497756767238
경상북도,2081,2877.5071071873026
경상북도,2082,2742.9060999530584
경상북도,2083,2816.809652958207
경상북도,2084,2613.285530071409
경상북도,2085,2847.5742707215663
경상북도,2086,2627.558001487047
경상북도,2087,2596.1730136729684
경상북도,2088,2552.854871765274
경상북도,2089,2578.2985744040884
경상북도,2090,2535.5128344848335
경상북도,2091,2620.464427161872
경상북도,2092,2630.3590937812182
경상북도,2093,2635.246662353391
경상북도,2094,2744.3242081807475
경상북도,2095,2731.515069226774
경상북도,2096,2609.6189536822453
경상북도,2097,2722.9456388365506
경상북도,2098,2603.8342388068563
경상북도,2099,2713.2859201658907
경상북도,2100,2696.203120444288
광주광역시,2021,2931.116447001899
광주광역시,2022,2776.418775007824
광주광역시,2023,2616.235442893297
광주광역시,2024,2642.3147966579772
광주광역시,2025,2875.197241391299
광주광역시,2026,2858.0745914305785
광주광역시,2027,2786.5111884164885
광주광역시,2028,2877.932012486072
광주광역시,2029,2677.2139803128257
광주광역시,2030,2858.3140379879164
광주광역시,2031,2896.0167006089187
광주광역시,2032,2582.0875468023514
광주광역시,2033,2980.268052004751
광주광역시,2034,2511.410285355118
광주광역시,2035,2935.2965271258054
광주광역시,2036,3031.763469992424
광주광역시,2037,2730.312058079442
광주광역시,2038,2645.4608503218883
광주광역시,2039,2865.3101404199506
광주광역시,2040,2591.9648207125483
광주광역시,2041,2655.134918986844
광주광역시,2042,2643.5277578074606
광주광역시,2043,2684.270461988108
광주광역시,2044,2800.272059743247
광주광역시,2045,2895.174396555949
광주광역시,2046,2726.776337033117
광주광역시,2047,2940.3697207727196
광주광역시,2048,2887.0043794046287
광주광역시,2049,2669.926413141347
광주광역시,2050,2725.1176405747055
광주광역시,2051,2631.487037554571
광주광역시,2052,3030.4908433945575
광주광역시,2053,2890.2588578770647
광주광역시,2054,2858.7211499128216
광주광역시,2055,2814.9431234619915
광주광역시,2056,2764.8734727209976
광주광역시,2057,2769.4196632617786
광주광역시,2058,2775.756561679437
광주광역시,2059,2896.645010219374
광주광역시,2060,2577.743164443056
광주광역시,2061,2773.420240270699
광주광역시,2062,2855.4329947815063
광주광역시,2063,2904.8316253336784
광주광역시,2064,3041.7719810387607
광주광역시,2065,2739.8174535536014
광주광역시,2066,2711.5461310394076
광주광역시,2067,2892.102010761522
광주광역시,2068,2659.6858942919675
광주광역시,2069,2830.431212659725
광주광역시,2070,2876.0369677105687
광주광역시,2071,2982.1636312118144
광주광역시,2072,2975.556189226797
광주광역시,2073,3040.6027058744635
광주광역시,2074,2906.0449612728007
광주광역시,2075,2655.2083389216737
광주광역시,2076,2943.3517381136
광주광역시,2077,2816.0224760260194
광주광역시,2078,2776.2436631013056
광주광역시,2079,2900.858589886756
광주광역시,2080,2944.1371498273743
광주광역시,2081,2941.12755269084
광주광역시,2082,2898.731130765545
광주광역시,2083,3048.486671102481
광주광역시,2084,2890.8213636668456
광주광역시,2085,2969.20238699551
광주광역시,2086,2867.260141489492
광주광역시,2087,2781.5755230831223
광주광역시,2088,2865.2938861246853
광주광역시,2089,2912.5828554671275
광주광역시,2090,2829.0922897538658
광주광역시,2091,2920.2423878420063
광주광역시,2092,2983.715088100188
광주광역시,2093,2800.9958647452145
광주광역시,2094,2976.948782021191
광주광역시,2095,3030.0628839189917
광주광역시,2096,2839.2047461775755
광주광역시,2097,2944.839614147183
광주광역시,2098,2852.617788161562
광주광역시,2099,2871.653331683558
광주광역시,2100,2744.207390044115
대구광역시,2021,2641.5997146164
대구광역시,2022,2784.298146958279
대구광역시,2023,2476.7545571133883
대구광역시,2024,2657.216555458691
대구광역시,2025,2542.0831615934694
대구광역시,2026,2828.1845254660675
대구광역시,2027,2643.0439369172245
대구광역시,2028,2665.2113167705083
대구광역시,2029,2449.5230795282223
대구광역시,2030,2671.195887121111
대구광역시,2031,2695.0282310006583
대구광역시,2032,2503.8676384790774
대구광역시,2033,2958.487845770559
대구광역시,2034,2596.6220266853416
대구광역시,2035,2797.1706583541477
대구광역시,2036,2862.434442135666
대구광역시,2037,2428.367054637205
대구광역시,2038,2766.2865330773875
대구광역시,2039,2616.170586988657
대구광역시,2040,2517.6642270540938
대구광역시,2041,2807.060445865746
대구광역시,2042,2621.564016815317
대구광역시,2043,2504.2727036256383
대구광역시,2044,2481.6780093440075
대구광역시,2045,2659.3257514793218
대구광역시,2046,2581.2747778861212
대구광역시,2047,2651.041184113466
대구광역시,2048,2757.087709198311
대구광역시,2049,2526.3253835225214
대구광역시,2050,2520.355361895644
대구광역시,2051,2706.1739723041846
대구광역시,2052,2655.248736755633
대구광역시,2053,2653.825110090308
대구광역시,2054,2728.0803774586097
대구광역시,2055,2751.774159513591
대구광역시,2056,2704.1159326253787
대구광역시,2057,2693.885507058074
대구광역시,2058,2666.47172814382
대구광역시,2059,2824.06025767838
대구광역시,2060,2659.645607145252
대구광역시,2061,2589.0619660340667
대구광역시,2062,2670.73042769015
대구광역시,2063,2674.808973464971
대구광역시,2064,2874.5693850531648
대구광역시,2065,2617.8465023592953
대구광역시,2066,2600.9423147744546
대구광역시,2067,2810.7342794393776
대구광역시,2068,2692.993319519972
대구광역시,2069,2784.7163345795334
대구광역시,2070,2690.4893282255903
대구광역시,2071,2749.51571118863
대구광역시,2072,2802.6797126475326
대구광역시,2073,2792.3692629185425
대구광역시,2074,2752.597108452924
대구광역시,2075,2614.19249596363
대구광역시,2076,2793.939185722908
대구광역시,2077,2740.8334828980555
대구광역시,2078,2648.9951444451126
대구광역시,2079,2775.1828250737663
대구광역시,2080,2797.0286734325246
대구광역시,2081,2884.884507100124
대구광역시,2082,2730.932731098532
대구광역시,2083,2857.4492133013678
대구광역시,2084,2635.908559800832
대구광역시,2085,2741.4459842671213
대구광역시,2086,2709.3262840609354
대구광역시,2087,2727.294206008584
대구광역시,2088,2659.152918385563
대구광역시,2089,2646.7531550147964
대구광역시,2090,2629.5992215339165
대구광역시,2091,2664.073382594555
대구광역시,2092,2732.255143495818
대구광역시,2093,2631.3237332526664
대구광역시,2094,2821.2555094051772
대구광역시,2095,2754.834886806949
대구광역시,2096,2705.5457927267507
대구광역시,2097,2742.7120942737156
대구광역시,2098,2598.633267939496
대구광역시,2099,2708.093986643686
대구광역시,2100,2647.3996210312216
대전광역시,2021,2610.161378041499
대전광역시,2022,2457.8299171422245
대전광역시,2023,2439.95831358363
대전광역시,2024,2539.52797219176
대전광역시,2025,2466.4428969172914
대전광역시,2026,2645.4243355360622
대전광역시,2027,2508.8811058208153
대전광역시,2028,2599.8270985615613
대전광역시,2029,2413.352104390749
대전광역시,2030,2634.5211083812915
대전광역시,2031,2536.0506077464806
대전광역시,2032,2430.712276451674
