지역,년,prediction_label
강원도,2021,224.90524458204337
강원도,2022,243.98280051150894
강원도,2023,246.762205882353
강원도,2024,242.09515345268542
강원도,2025,243.66281922525113
강원도,2026,243.51632992327364
강원도,2027,227.83447202295554
강원도,2028,247.90509462915603
강원도,2029,232.10358967001432
강원도,2030,236.70619684138248
강원도,2031,247.01083391003462
강원도,2032,234.63599569583937
강원도,2033,157.59905882352942
강원도,2034,257.39858823529414
강원도,2035,161.0860588235294
강원도,2036,165.10770588235292
강원도,2037,237.5604720229555
강원도,2038,238.44787616099072
강원도,2039,234.62267647058826
강원도,2040,233.23317027863777
강원도,2041,223.58327077497668
강원도,2042,237.25153159041395
강원도,2043,227.58656489262373
강원도,2044,238.87814705882354
강원도,2045,231.82667647058827
강원도,2046,201.07093842770752
강원도,2047,241.13844117647056
강원도,2048,230.29332352941177
강원도,2049,214.54281660899656
강원도,2050,221.26732524399893
강원도,2051,210.48812649661633
강원도,2052,229.74342105263156
강원도,2053,216.67767818517547
강원도,2054,237.8964411764706
강원도,2055,202.70498642533937
강원도,2056,212.60028719723186
강원도,2057,216.88447202295552
강원도,2058,213.06954831932777
강원도,2059,205.87429136888397
강원도,2060,226.31521195144725
강원도,2061,203.85200884955754
강원도,2062,216.93363499245854
강원도,2063,216.85950519031144
강원도,2064,228.7910588235294
강원도,2065,212.3271459694989
강원도,2066,211.40547943779282
강원도,2067,193.55464396284827
강원도,2068,203.55153826132224
강원도,2069,200.37061655773422
강원도,2070,198.28863344464423
강원도,2071,189.82076470588234
강원도,2072,183.0044640522876
강원도,2073,197.70186873876187
강원도,2074,202.25861655773423
강원도,2075,209.273974789916
강원도,2076,240.74006069094307
강원도,2077,219.26962915601024
강원도,2078,205.9279275622913
강원도,2079,215.9472820512821
강원도,2080,210.36968253968254
강원도,2081,188.23741176470588
강원도,2082,186.44105607476638
강원도,2083,209.6466274509804
강원도,2084,224.23169381598797
강원도,2085,176.57181699346404
강원도,2086,213.52682352941179
강원도,2087,211.79267538126362
강원도,2088,205.9097031335899
강원도,2089,194.41532773109245
강원도,2090,197.4174705882353
강원도,2091,208.18047058823532
강원도,2092,205.9355263157895
강원도,2093,194.89482078064873
강원도,2094,208.16878431372552
강원도,2095,170.7711111111111
강원도,2096,203.07193842770755
강원도,2097,195.05749019607845
강원도,2098,210.95114877341075
강원도,2099,203.39999999999998
강원도,2100,189.832532428356
경기도,2021,215.96511034778874
경기도,2022,192.61385185185185
경기도,2023,210.36819537815128
경기도,2024,187.21063344464423
경기도,2025,205.05720479302835
경기도,2026,185.01475163398695
경기도,2027,188.4055163398693
경기도,2028,184.68051633986929
경기도,2029,183.60988687782805
경기도,2030,197.16882728410516
경기도,2031,200.364291368884
경기도,2032,205.01648949579834
경기도,2033,172.55743137254905
경기도,2034,211.24557033248087
경기도,2035,146.75947826086957
경기도,2036,175.29677671068427
경기도,2037,197.8459869281046
경기도,2038,181.64951579758542
경기도,2039,189.91863344464426
경기도,2040,194.09488610763458
경기도,2041,183.752522875817
경기도,2042,204.09241551939925
경기도,2043,194.17106257822277
경기도,2044,199.26020479302832
경기도,2045,193.74486873876188
경기도,2046,166.59837254901962
경기도,2047,203.516974789916
경기도,2048,177.80365906362547
경기도,2049,190.92291596638654
경기도,2050,200.38005607476634
경기도,2051,193.0741111111111
경기도,2052,175.24664052287582
경기도,2053,184.4170633484163
경기도,2054,192.53557462111485
경기도,2055,190.14422167993837
경기도,2056,193.08169226817367
경기도,2057,175.9508355342137
경기도,2058,184.42353242835597
경기도,2059,184.04465158371042
경기도,2060,206.07751579758542
경기도,2061,179.4498943577431
경기도,2062,186.12407082833136
경기도,2063,186.5085339366516
경기도,2064,185.69311111111114
경기도,2065,188.69594419306185
경기도,2066,181.77629411764707
경기도,2067,154.16682267689686
경기도,2068,187.68912140175223
경기도,2069,176.58876923076923
경기도,2070,177.18394570135746
경기도,2071,168.0316843413422
경기도,2072,156.28282352941176
경기도,2073,189.73887581699347
경기도,2074,173.117592760181
경기도,2075,186.99105882352941
경기도,2076,203.96250420168067
경기도,2077,190.66707920792078
경기도,2078,184.3103559577677
경기도,2079,184.76369934640522
경기도,2080,169.57070588235294
경기도,2081,183.9382549019608
경기도,2082,171.6508575851393
경기도,2083,175.5232932651321
경기도,2084,188.48016993464051
경기도,2085,169.37930612244898
경기도,2086,175.92206334841632
경기도,2087,185.50965158371045
경기도,2088,183.81887581699348
경기도,2089,180.37500452488686
경기도,2090,177.35288687782807
경기도,2091,183.55221008403362
경기도,2092,176.970592760181
경기도,2093,178.6852472989196
경기도,2094,171.9687178871549
경기도,2095,163.69301200480191
경기도,2096,185.57812965186073
경기도,2097,179.20071040723982
경기도,2098,162.56119607843138
경기도,2099,182.42141628959277
경기도,2100,181.0730633484163
경상남도,2021,219.06704675716443
경상남도,2022,207.733456974056
경상남도,2023,197.2039869281046
경상남도,2024,206.39064431006048
